complete_address,address,label,building,house_details,locality,pincode,city,state
"43/11 Dhawan Zila, Above Shop, Coimbatore, Tamil Nadu - 598669","43/11 Dhawan Zila, Above Shop, Coimbatore, Tamil Nadu - 598669",0,,43/11,Dhawan Zilla,598669,Coimbatore,Tamil Nadu
"82/11 Oza Ganj, Opposite Mall, Coimbatore, Tamil Nadu - 762513","82/11 Oza Ganj, Mall, Tamil",1,,82/11,,600001,Tamil Nadu,
"47/87, Bala, Behind School, Amritsar, Punjab - 269494","47/87, Bala, Behind School, Amritsar, Punjab - 269494",0,,47/87,Amritsar,122494,Punjab,
"88 Pillay Street, Opposite Mall, Mumbai, Maharashtra - 443822","88 Pillay Street, Opposite Mall, Mumbai, Maharashtra - 443822",0,,88,,400022,Mumbai,Maharashtra
"54/180, Dar Nagar, Above Shop, Shimla, Himachal Pradesh - 745125","54/180, Dar Nagar, Above Shop, Shimla, Himachal Pradesh - 745125",0,,54/180,Dar Nagar,122105,Shimla,Himachal Pradesh
"H.No. 833 Bumb Zila, Behind School, Srinagar, Jammu & Kashmir - 325616","Zila, Behind School, Jammu & 325616",1,,,Zila,122516,Jammu,
"67/10, Saini Path, Behind School, Guwahati, Assam - 281164","67/10, Saini Path, Behind School, Guwahati, Assam - 281164",0,,67/10,Guwahati,421164,Assam,
"44 Mannan Ganj, Above Shop, Coimbatore, Tamil Nadu - 109864","44 Mannan Ganj, Above Shop, Coimbatore, Tamil Nadu - 109864",0,,44,Coimbatore,109084,Tamil Nadu,
"41 Venkataraman Zila, Opposite Mall, Bangalore, Karnataka - 797030","41 Venkataraman Zila, Opposite Mall, Bangalore, Karnataka - 797030",0,,41,Venkataramana Zilla,797030,Bangalore,Karnataka
"H.No. 37 Joshi Ganj, Near Park, Lucknow, Uttar Pradesh - 505237","H.No. 37 Near Park, Lucknow, Uttar",1,,H.No. 37,Lucknow,201001,Uttar Pradesh,
"H.No. 214, Ben Path, Above Shop, Coimbatore, Tamil Nadu - 575417","H.No. 214, Ben Path, Above Shop, Coimbatore, Tamil Nadu - 575417",0,,H.No. 214,Coimbatore,575117,Tamil Nadu,
"10/83 Kar Path, Above Shop, Mumbai, Maharashtra - 643976","10/83 Kar Path, Above Shop, Mumbai, Maharashtra - 643976",0,,10/83,,400063,Mumbai,Maharashtra
"32/709 Koshy Nagar, Behind School, Kochi, Kerala - 548176","Koshy Nagar, School, Kerala -",1,,,Koshy Nagar,600116,School,Kerala
"H.No. 208 Mandal Street, Above Shop, Thiruvananthapuram, Kerala - 356025","H.No. 208 Mandal Street, Above Shop, Thiruvananthapuram, Kerala - 356025",0,,H.No. 208,Thiruvananthapuram,600025,Kerala,
"046 Bhattacharyya Zila, Behind School, Vijayawada, Andhra Pradesh - 510367","046 Bhattacharyya Zila, Behind School, Vijayawada, Andhra Pradesh - 510367",0,,046,Bhattacharyya Zilla,501367,,Andhra Pradesh
"44/518 Muni Zila, Opposite Mall, Kolkata, West Bengal - 213216","Opposite Mall, West - 213216",1,Opposite Mall,West - 213216,,201306,Noida,
"H.No. 171 Nayar Ganj, Near Park, Pune, Maharashtra - 453120","H.No. 171 Nayar Ganj, Near Park, Pune, Maharashtra - 453120",0,,H.No. 171,Nayar Ganj,412312,Pune,Maharashtra
"H.No. 757 Dhaliwal Road, Near Park, Kolkata, West Bengal - 096998","H.No. 757 Dhaliwal Road, Near Park, Kolkata, West Bengal - 096998",0,,H.No. 757,,700096,Kolkata,West Bengal
"35 Kothari Zila, Opposite Mall, Bhubaneswar, Odisha - 937562","35 Kothari Zila, Opposite Mall, Bhubaneswar, Odisha - 937562",0,,35,Kothari Zila,937562,Bhubaneswar,Odisha
"H.No. 95, Chawla Circle, Opposite Mall, Delhi, Delhi - 938937","H.No. 95, Chawla Circle, Opposite Mall, Delhi, Delhi - 938937",0,,H.No. 95,Delhi,110007,Delhi,
"06, Manne Chowk, Opposite Mall, Bhubaneswar, Odisha - 631163","06, Manne Chowk, Opposite Mall, Bhubaneswar, Odisha - 631163",0,,06,Bhubaneswar,613161,,Odisha
"H.No. 87 Parikh Marg, Opposite Mall, Ahmedabad, Gujarat - 111017","H.No. 87 Parikh Marg, Opposite Mall, Ahmedabad, Gujarat - 111017",0,,H.No. 87,,380001,Ahmedabad,Gujarat
"57/547, Sant Path, Above Shop, Meerut, Uttar Pradesh - 798174","57/547, Sant Path, Above Shop, Meerut, Uttar Pradesh - 798174",0,,57/547,Meerut,201307,Uttar Pradesh,
"362, Kar Ganj, Near Park, Coimbatore, Tamil Nadu - 313141","362, Kar Ganj, Near Park, Coimbatore, Tamil Nadu - 313141",0,,362,Coimbatore,313141,Tamil Nadu,
"H.No. 660, Sami Street, Above Shop, Kochi, Kerala - 277692","H.No. 660, Sami Street, Above Shop, Kochi, Kerala - 277692",0,,H.No. 660,Kochi,700692,Kanchipuram,Kerala
"H.No. 951 Chadha Street, Near Park, Jaipur, Rajasthan - 394027","H.No. 951 Chadha Street, Near Park, Jaipur, Rajasthan - 394027",0,,H.No. 951,Jaipur,394027,Rajasthan,
"84/74, Gara Path, Behind School, Jaipur, Rajasthan - 795520","84/74, Gara Path, Behind School, Jaipur, Rajasthan - 795520",0,,84/74,Jaipur,395520,Rajasthan,
"H.No. 19 Bansal Path, Above Shop, Aurangabad, Maharashtra - 684685","H.No. 19 Bansal Path, Above Shop, Aurangabad, Maharashtra - 684685",0,,H.No. 19,Aurangabad,684685,,Maharashtra
"H.No. 786 Mishra Road, Near Park, Delhi, Delhi - 354197","H.No. 786 Mishra Road, Near Park, Delhi, Delhi - 354197",0,,H.No. 786,Delhi,110074,Delhi,
"50/31, Biswas, Near Park, Nagpur, Maharashtra - 486452","50/31, Biswas, Near Park, Nagpur, Maharashtra - 486452",0,,50/31,Nagpur,411045,Maharashtra,
"02/21, Ratti Chowk, Near Park, Ludhiana, Punjab - 199039","02/21, Ratti Chowk, Near Park, Ludhiana, Punjab - 199039",0,,02/21,Ludhiana,199039,Punjab,
"852 Swamy Zila, Behind School, Meerut, Uttar Pradesh - 866979","852 Swamy Zila, Behind School, Meerut, Uttar Pradesh - 866979",0,,852,Swamy Zila,201003,Meerut,Uttar Pradesh
"03/70, Bal Marg, Behind School, Vijayawada, Andhra Pradesh - 998906","03/70, Bal Marg, Behind School, Vijayawada, Andhra Pradesh - 998906",0,,03/70,Vijayawada,500043,Andhra Pradesh,
"H.No. 52 Sibal Street, Near Park, Chennai, Tamil Nadu - 494216","H.No. 52 Sibal Street, Near Park, Chennai, Tamil Nadu - 494216",0,,H.No. 52,Chennai,600421,Chennai,Tamil Nadu
"65/708, Mannan Road, Opposite Mall, Meerut, Uttar Pradesh - 120664","65/708, Mannan Road, Opposite Mall, Meerut, Uttar Pradesh - 120664",0,,65/708,Meerut,201004,Uttar Pradesh,
"62/76 Mohan Nagar, Opposite Mall, Thiruvananthapuram, Kerala - 835345","62/76 Mohan Nagar, Opposite Mall, Thiruvananthapuram, Kerala - 835345",0,,62/76,Thiruvananthapuram,600118,Kerala,
"H.No. 910 Majumdar Zila, Near Park, Mumbai, Maharashtra - 360245","H.No. 910 Majumdar Zila, Near Park, Mumbai, Maharashtra - 360245",0,,H.No. 910,Majumdar Zila,400245,Mumbai,Maharashtra
"H.No. 03, Ram Zila, Above Shop, Aurangabad, Maharashtra - 546616","H.No. 03, Ram Zila, Above Shop, Aurangabad, Maharashtra - 546616",0,,H.No. 03,Ram Zila,421606,,Maharashtra
"471, Misra Path, Opposite Mall, Vijayawada, Andhra Pradesh - 633997","471, Misra Path, Opposite Mall, Vijayawada, Andhra Pradesh - 633997",0,,471,Vijayawada,500043,Andhra Pradesh,
"96, Solanki Nagar, Behind School, Vizag, Andhra Pradesh - 176432","96, Solanki Nagar, Behind School, Vizag, Andhra Pradesh - 176432",0,,96,Solanki Nagar,562142,Vizag,Andhra Pradesh
"93 Doctor Path, Opposite Mall, Shimla, Himachal Pradesh - 865762","93 Doctor Path, Opposite Mall, Shimla, Himachal Pradesh - 865762",0,,93,Shimla,122102,Himachal Pradesh,
"H.No. 316 Mammen Marg, Near Park, Guwahati, Assam - 984423","H.No. 316 Mammen Marg, Near Park, Guwahati, Assam - 984423",0,,H.No. 316,Guwahati,700001,Assam,
"22, Mandal Chowk, Opposite Mall, Vizag, Andhra Pradesh - 028795","Chowk, Mall, Vizag, Andhra -",1,,,Chowk,500008,Mall,Andhra
"H.No. 581, Saran Circle, Behind School, Patna, Bihar - 235108",H.No. Saran Behind - 235108,1,,Saran,,110108,,
"752 Upadhyay Street, Near Park, Raipur, Chhattisgarh - 467104","752 Upadhyay Street, Near Park, Raipur, Chhattisgarh - 467104",0,,752,Raipur,467104,Chhattisgarh,
"01/515 Kar Nagar, Near Park, Aurangabad, Maharashtra - 603447","01/515 Kar Nagar, Near Park, Aurangabad, Maharashtra - 603447",0,,01/515,Aurangabad,603447,,Maharashtra
"15/378, Tripathi Marg, Opposite Mall, Bangalore, Karnataka - 739445","15/378, Tripathi Marg, Opposite Mall, Bangalore, Karnataka - 739445",0,,15/378,,560045,Bangalore,Karnataka
"H.No. 264 Dash Zila, Behind School, Pune, Maharashtra - 567466","Dash Zila, Pune, - 567466",1,,,Dash Zila,411046,Pune,
"H.No. 862, Dutta Nagar, Behind School, Shimla, Himachal Pradesh - 820278","H.No. 862, Dutta Nagar, Behind School, Shimla, Himachal Pradesh - 820278",0,,H.No. 862,Dutta Nagar,122278,Shimla,Himachal Pradesh
"90, Dhawan Ganj, Above Shop, Varanasi, Uttar Pradesh - 448718","90, Dhawan Ganj, Above Shop, Varanasi, Uttar Pradesh - 448718",0,,90,Dhawan Ganj,221308,Varanasi,Uttar Pradesh
"H.No. 213 Kari Chowk, Behind School, Indore, Madhya Pradesh - 257058","Kari Chowk, Behind Indore, Pradesh 257058",1,,,,257058,Pradesh,
"H.No. 365 Parmar Ganj, Above Shop, Nashik, Maharashtra - 795494","H.No. 365 Parmar Ganj, Above Shop, Nashik, Maharashtra - 795494",0,,H.No. 365,Parmar Ganj,395494,Nashik,Maharashtra
"H.No. 98 Mani Marg, Above Shop, Thiruvananthapuram, Kerala - 036170","H.No. 98 Mani Marg, Above Shop, Thiruvananthapuram, Kerala - 036170",0,,H.No. 98,Thiruvananthapuram,600170,Kerala,
"H.No. 67 Dalal Chowk, Behind School, Mumbai, Maharashtra - 703641","Behind Mumbai, Maharashtra - 703641",1,,,,703641,Mumbai,Maharashtra
"H.No. 045, Arora Nagar, Near Park, Amritsar, Punjab - 980359","H.No. 045, Arora Nagar, Near Park, Amritsar, Punjab - 980359",0,,H.No. 045,Arora Nagar,380059,Amritsar,Punjab
"H.No. 58 Iyer Street, Opposite Mall, Nagpur, Maharashtra - 739343","H.No. Iyer Street, Mall, Nagpur,",1,,,Mall,411001,Nagpur,
"H.No. 549, Deo Ganj, Near Park, Dehradun, Uttarakhand - 209719","H.No. 549, Deo Ganj, Near Park, Dehradun, Uttarakhand - 209719",0,,H.No. 549,Deo Ganj,209119,Dehradun,Uttarakhand
"H.No. 43, Ramesh Ganj, Near Park, Kochi, Kerala - 713170","H.No. Ramesh Ganj, Kerala -",1,,,Ramesh Ganj,560001,,KARNATAKA
"H.No. 663 Chandran Road, Near Park, Varanasi, Uttar Pradesh - 517423","H.No. 663 Chandran Road, Near Park, Varanasi, Uttar Pradesh - 517423",0,,H.No. 663,Varanasi,221302,Uttar Pradesh,
"H.No. 199 Arya Ganj, Opposite Mall, Vizag, Andhra Pradesh - 524663",H.No. 199 Arya Andhra Pradesh 524663,1,,H.No. 199,Arya Andhra Pradesh,524663,,
"636 Wadhwa Road, Above Shop, Coimbatore, Tamil Nadu - 511733","636 Wadhwa Road, Above Shop, Coimbatore, Tamil Nadu - 511733",0,,636,Coimbatore,511333,Tamil Nadu,
"H.No. 76 Koshy Marg, Opposite Mall, Nashik, Maharashtra - 558211","H.No. 76 Koshy Marg, -",1,,H.No. 76,New Delhi,110001,,
"98 Devan Ganj, Behind School, Jaipur, Rajasthan - 381149","Devan Ganj, Behind - 381149",1,,,Devan Ganj,381149,,
"57 Kurian Zila, Near Park, Mumbai, Maharashtra - 681909","57 Kurian Zila, Near Park, Mumbai, Maharashtra - 681909",0,,57,Kurian Zilla,421009,Mumbai,Maharashtra
"25/638 Singhal Road, Behind School, Guwahati, Assam - 523370","25/638 Singhal Road, Behind School, Guwahati, Assam - 523370",0,,25/638,Guwahati,523370,Assam,
"H.No. 994 Bawa Zila, Opposite Mall, Agra, Uttar Pradesh - 790182","H.No. 994 Bawa Zila, Opposite Mall, Agra, Uttar Pradesh - 790182",0,,H.No. 994,Bawa Zila,201018,Agra,Uttar Pradesh
"83, Khosla Street, Above Shop, Surat, Gujarat - 310817","83, Khosla Street, Above Shop, Surat, Gujarat - 310817",0,,83,,394017,Surat,Gujarat
"H.No. 37, Sama Nagar, Behind School, Ludhiana, Punjab - 237887","Sama Behind Ludhiana, Punjab -",1,,,Sama Behind Ludhiana,122101,Punjab,
"43, Bhatia Path, Behind School, Aurangabad, Maharashtra - 189875","43, Bhatia Path, Behind School, Aurangabad, Maharashtra - 189875",0,,43,Aurangabad,412105,,Maharashtra
"15 Thakur Marg, Opposite Mall, Vizag, Andhra Pradesh - 690044","15 Thakur Marg, Opposite Mall, Vizag, Andhra Pradesh - 690044",0,,15,Vizag,500044,Andhra Pradesh,
"29, Menon Ganj, Opposite Mall, Ranchi, Jharkhand - 636005","29, Menon Opposite Ranchi, -",1,,29,,400067,Mumbai,
"55/776 Lad Street, Opposite Mall, Varanasi, Uttar Pradesh - 878064","55/776 Lad Street, Opposite Mall, Varanasi, Uttar Pradesh - 878064",0,,55/776,Varanasi,221004,Uttar Pradesh,
"09/39, Basu Zila, Above Shop, Nagpur, Maharashtra - 659760","09/39, Basu Zila, Above Shop, Nagpur, Maharashtra - 659760",0,,09/39,Basu Zilla,659760,Nagpur,Maharashtra
"149, Natarajan Chowk, Near Park, Jaipur, Rajasthan - 373171","149, Natarajan Chowk, Near Park, Jaipur, Rajasthan - 373171",0,,149,Jaipur,382311,Rajasthan,
"06/10, Ahuja Street, Opposite Mall, Agra, Uttar Pradesh - 493452","06/10, Street, Mall, Agra, Pradesh",1,,06/10,Agra,201001,Pradesh,
"029, Chander, Opposite Mall, Indore, Madhya Pradesh - 741684","029, Chander, Opposite Mall, Indore, Madhya Pradesh - 741684",0,Chander,029,Indore,741684,Madhya Pradesh,
"384, Ray Path, Above Shop, Hyderabad, Telangana - 298810","384, Ray Path, Above Shop, Hyderabad, Telangana - 298810",0,,384,,500081,Hyderabad,Telangana
"06/06, Sachdeva Ganj, Near Park, Vizag, Andhra Pradesh - 698107","06/06, Sachdeva Ganj, Near Park, Vizag, Andhra Pradesh - 698107",0,,06/06,Sachdeva Ganj,698107,Vizag,Andhra Pradesh
"H.No. 764 Kamdar Zila, Above Shop, Jamshedpur, Jharkhand - 727852","764 Zila, Above - 727852",1,,764,Zila,122102,,
"H.No. 59, Madan Nagar, Behind School, Srinagar, Jammu & Kashmir - 544509","H.No. 59, Madan Nagar, Behind School, Srinagar, Jammu & Kashmir - 544509",0,,H.No. 59,Madan Nagar,544509,Srinagar,Jammu & Kashmir
"39/154, Deshpande Circle, Behind School, Meerut, Uttar Pradesh - 979529","39/154, Deshpande Circle, Behind School, Meerut, Uttar Pradesh - 979529",0,,39/154,Meerut,201009,Uttar Pradesh,
"H.No. 67 Kata Nagar, Opposite Mall, Delhi, Delhi - 054664","H.No. 67 Kata Nagar, Opposite Mall, Delhi, Delhi - 054664",0,,H.No. 67,Kata Nagar,110054,Delhi,Delhi
"09, Brar Street, Opposite Mall, Nashik, Maharashtra - 404602","09, Brar Opposite Nashik, Maharashtra",1,,09,,400608,,Maharashtra
"03/53 Gala, Above Shop, Indore, Madhya Pradesh - 676317","03/53 Gala, Above Shop, Indore, Madhya Pradesh - 676317",0,,03/53,Gala,676117,Indore,Madhya Pradesh
"40 Sandal Circle, Above Shop, Raipur, Chhattisgarh - 445192","40 Sandal Circle, Above Shop, Raipur, Chhattisgarh - 445192",0,Sandal Circle,40,Raipur,445192,Chhattisgarh,
"H.No. 396 Mittal Street, Behind School, Ahmedabad, Gujarat - 873270","H.No. 396 Mittal Street, Behind School, Ahmedabad, Gujarat - 873270",0,,H.No. 396,,382270,Ahmedabad,Gujarat
"61/777 Zacharia Ganj, Above Shop, Pune, Maharashtra - 584709","61/777 Zacharia Ganj, Above Shop, Pune, Maharashtra - 584709",0,,61/777,,411009,Pune,Maharashtra
"H.No. 36 Sharma Street, Opposite Mall, Vijayawada, Andhra Pradesh - 230156","H.No. 36 Sharma Street, Opposite Mall, Vijayawada, Andhra Pradesh - 230156",0,,H.No. 36,Vijayawada,500015,Andhra Pradesh,
"424 Kulkarni, Opposite Mall, Hyderabad, Telangana - 100986","Opposite Mall, - 100986",1,Opposite Mall,,,100986,,
"630, Soman Ganj, Opposite Mall, Coimbatore, Tamil Nadu - 670169","630, Soman Ganj, Opposite Mall, Coimbatore, Tamil Nadu - 670169",0,,630,Coimbatore,600069,Tamil Nadu,
"H.No. 57, Goel Circle, Opposite Mall, Vijayawada, Andhra Pradesh - 396038","H.No. 57, Goel Circle, Opposite Mall, Vijayawada, Andhra Pradesh - 396038",0,,H.No. 57,Vijayawada,396038,Andhra Pradesh,
"229 Kapur, Above Shop, Surat, Gujarat - 240928","229 Kapur, Above Shop, Surat, Gujarat - 240928",0,,229,Kapur,394208,Surat,Gujarat
"H.No. 30 Raj Road, Opposite Mall, Ahmedabad, Gujarat - 656476","Raj Opposite Mall, Gujarat 656476",1,Raj,,,396614,Gujarat,
"H.No. 464, Gill Road, Behind School, Raipur, Chhattisgarh - 475993","H.No. 464, Gill Road, Behind School, Raipur, Chhattisgarh - 475993",0,,H.No. 464,Raipur,475993,,Chhattisgarh
"64, Khosla Chowk, Behind School, Surat, Gujarat - 443637",Khosla Behind Gujarat - 443637,1,Khosla,Behind Gujarat,,122001,,
"04/136, Bhatnagar Circle, Above Shop, Vizag, Andhra Pradesh - 525053","04/136, Bhatnagar Circle, Above Shop, Vizag, Andhra Pradesh - 525053",0,,04/136,Vizag,500053,Andhra Pradesh,
"H.No. 05 Borah Nagar, Behind School, Meerut, Uttar Pradesh - 790980","H.No. 05 Borah Nagar, Behind School, Meerut, Uttar Pradesh - 790980",0,,H.No. 05,Borah Nagar,201003,Meerut,Uttar Pradesh
"H.No. 928 Sanghvi Street, Behind School, Ranchi, Jharkhand - 184794","Sanghvi Street, Behind School, -",1,,,Behind School,400058,Mumbai,
"H.No. 30, Apte, Above Shop, Coimbatore, Tamil Nadu - 396707","H.No. 30, Apte, Above Shop, Coimbatore, Tamil Nadu - 396707",0,,H.No. 30,Apte,396007,Coimbatore,Tamil Nadu
"041 Bhatti, Near Park, Varanasi, Uttar Pradesh - 480818","041 Bhatti, Near Park, Varanasi, Uttar Pradesh - 480818",0,,041 Bhatti,Varanasi,201008,Uttar Pradesh,
"48/026 Chana Street, Above Shop, Surat, Gujarat - 589471","48/026 Chana Street, Above Shop, Surat, Gujarat - 589471",0,,48/026,,395014,Surat,Gujarat
"H.No. 415, Kala Ganj, Behind School, Vijayawada, Andhra Pradesh - 486831","H.No. 415, Kala Ganj, Behind School, Vijayawada, Andhra Pradesh - 486831",0,,H.No. 415,Kala Ganj,486311,Vijayawada,Andhra Pradesh
"H.No. 391 Kibe Zila, Behind School, Thiruvananthapuram, Kerala - 175981","391 Kibe Zila, Thiruvananthapuram, -",1,,391,Kibe Zilla,-600077,Thiruvananthapuram,
"225 Nanda Marg, Behind School, Bhubaneswar, Odisha - 376059","225 School, Bhubaneswar, Odisha 376059",1,,225,Bhubaneswar,380059,Odisha,
"H.No. 150, Maharaj Path, Opposite Mall, Guwahati, Assam - 434111","H.No. 150, Maharaj Path, Opposite Mall, Guwahati, Assam - 434111",0,,H.No. 150,Guwahati,411001,Assam,
"99/47 Dara Chowk, Above Shop, Vizag, Andhra Pradesh - 507795","99/47 Dara Chowk, Above Shop, Vizag, Andhra Pradesh - 507795",0,,99/47,Vizag,500079,Andhra Pradesh,
"333, Buch Path, Near Park, Coimbatore, Tamil Nadu - 611443","333, Buch Path, - 611443",1,,333,,611443,,
"76, Agate Road, Near Park, Bhopal, Madhya Pradesh - 312911","76, Agate Road, Near Park, Bhopal, Madhya Pradesh - 312911",0,,76,Bhopal,312911,Madhya Pradesh,
"24 Dasgupta Ganj, Near Park, Thiruvananthapuram, Kerala - 486538","24 Dasgupta Ganj, Near Park, Thiruvananthapuram, Kerala - 486538",0,,24,Thiruvananthapuram,600038,Kerala,
"H.No. 236, Sastry Road, Opposite Mall, Ahmedabad, Gujarat - 208317","H.No. 236, Sastry Road, Opposite Mall, Ahmedabad, Gujarat - 208317",0,,H.No. 236,,380017,Ahmedabad,Gujarat
"H.No. 539 Nagi Path, Near Park, Hyderabad, Telangana - 534000","H.No. 539 Nagi Path, Near Park, Hyderabad, Telangana - 534000",0,,H.No. 539,,500000,Hyderabad,Telangana
"71/35 Naidu Road, Above Shop, Vizag, Andhra Pradesh - 418867","71/35 Naidu Road, Above Shop, Vizag, Andhra Pradesh - 418867",0,,71/35,Vizag,418867,Andhra Pradesh,
"49/128 Kothari Zila, Opposite Mall, Hyderabad, Telangana - 625183","49/128 Zila, Mall, Hyderabad, Telangana",1,,49/128,Zilla,500064,Hyderabad,Telangana
"265 Nagi, Above Shop, Surat, Gujarat - 119862","265 Nagi, Above Shop, Surat, Gujarat - 119862",0,,265,Nagi,394162,Surat,Gujarat
"H.No. 50 Sha Circle, Near Park, Jaipur, Rajasthan - 599432","H.No. 50 Sha Circle, Near Park, Jaipur, Rajasthan - 599432",0,,H.No. 50,Jaipur,599432,Rajasthan,
"48 Chana Ganj, Behind School, Chennai, Tamil Nadu - 672923","48 Chana Ganj, Behind School, Chennai, Tamil Nadu - 672923",0,,48,,672923,Chennai,Tamil Nadu
"56, Reddy Street, Above Shop, Hyderabad, Telangana - 226617","56, Reddy Street, Above Shop, Hyderabad, Telangana - 226617",0,,56,,500067,Hyderabad,Telangana
"37/853 Bassi Road, Above Shop, Kochi, Kerala - 249982","37/853 Bassi Road, Above Shop, Kochi, Kerala - 249982",0,,37/853,Kochi,600028,Kochi,Kerala
"H.No. 890 Prakash Nagar, Near Park, Thiruvananthapuram, Kerala - 145371","890 Nagar, Near - 145371",1,,890,Nagar,110031,,
"49/43, Sachar Chowk, Above Shop, Hyderabad, Telangana - 646213","49/43, Sachar Chowk, Above Shop, Hyderabad, Telangana - 646213",0,,49/43,,500006,Hyderabad,Telangana
"H.No. 897, Manda Path, Opposite Mall, Ranchi, Jharkhand - 936560","897, Mall, Ranchi, - 936560",1,,897,Ranchi,936560,,
"H.No. 722 Shan, Behind School, Nagpur, Maharashtra - 290465","H.No. 722 Shan, Behind School, Nagpur, Maharashtra - 290465",0,,H.No. 722,Shan,430465,Nagpur,Maharashtra
"033 Prabhu Marg, Near Park, Srinagar, Jammu & Kashmir - 836915","033 Prabhu Marg, Near Park, Srinagar, Jammu & Kashmir - 836915",0,,,Srinagar,836115,Jammu & Kashmir,
"262 Chanda Street, Opposite Mall, Shimla, Himachal Pradesh - 110614","262 Chanda Street, Opposite Mall, Shimla, Himachal Pradesh - 110614",0,,262,Shimla,110114,Himachal Pradesh,
"33/81 Ranganathan Circle, Near Park, Chandigarh, Chandigarh - 413100","33/81 Ranganathan Circle, Near Park, Chandigarh, Chandigarh - 413100",0,,33/81,Chandigarh,413101,Chandigarh,
"H.No. 27 Bandi Nagar, Above Shop, Jamshedpur, Jharkhand - 173122","H.No. 27 Bandi Nagar, Above Shop, Jamshedpur, Jharkhand - 173122",0,,H.No. 27,Bandi Nagar,213312,Jamshedpur,Jharkhand
"H.No. 18, Chawla, Near Park, Nagpur, Maharashtra - 743872","H.No. 18, Chawla, Near Park, Nagpur, Maharashtra - 743872",0,,H.No. 18,Chawla,743872,Nagpur,Maharashtra
"63, Karnik Zila, Near Park, Jaipur, Rajasthan - 679711","63, Karnik Zila, Near Park, Jaipur, Rajasthan - 679711",0,,63,Karnik Zila,379711,Jaipur,Rajasthan
"69, Som Nagar, Behind School, Hyderabad, Telangana - 198915","69, Som Nagar, Behind School, Hyderabad, Telangana - 198915",0,,69,Som Nagar,500015,Hyderabad,Telangana
"69/807, Bumb Road, Opposite Mall, Chandigarh, Chandigarh - 795981","Opposite Mall, Chandigarh, Chandigarh -",1,,,,700150,Chandigarh,Chandigarh
"08 Modi Nagar, Above Shop, Kochi, Kerala - 906040","08 Nagar, Shop, Kerala 906040",1,,08,Nagar,600040,,Kerala
"980, Dey Ganj, Behind School, Ranchi, Jharkhand - 298803","980, Dey Ganj, Behind School, Ranchi, Jharkhand - 298803",0,,980,Ranchi,298803,Jharkhand,
"H.No. 15 Thaker Chowk, Near Park, Chennai, Tamil Nadu - 537479","H.No. 15 Thaker Chowk, Near Park, Chennai, Tamil Nadu - 537479",0,,H.No. 15,Chennai,603479,Chennai,Tamil Nadu
"74 Borde Circle, Near Park, Varanasi, Uttar Pradesh - 201419","74 Borde Circle, Near Park, Varanasi, Uttar Pradesh - 201419",0,,,Varanasi,201004,Uttar Pradesh,
"052, Parekh Nagar, Opposite Mall, Bangalore, Karnataka - 133251","052, Parekh Nagar, Opposite Mall, Bangalore, Karnataka - 133251",0,,052,Parekh Nagar,560031,Bangalore,Karnataka
"930, Bumb Chowk, Opposite Mall, Guwahati, Assam - 022920","930, Bumb Chowk, Opposite Mall, Guwahati, Assam - 022920",0,,930,Guwahati,220092,Assam,
"01/64 Narain Circle, Near Park, Kolkata, West Bengal - 764601","01/64 Narain Circle, Near Park, Kolkata, West Bengal - 764601",0,,01/64,,700061,Kolkata,West Bengal
"40/274 Kunda Ganj, Behind School, Surat, Gujarat - 012412","40/274 Kunda School, Surat, Gujarat",1,,40/274,,395007,Surat,Gujarat
"68/680 Karpe Chowk, Above Shop, Srinagar, Jammu & Kashmir - 118478","68/680 Karpe Chowk, Above Shop, Srinagar, Jammu & Kashmir - 118478",0,,68/680,Srinagar,110478,Jammu & Kashmir,
"861, Sant Path, Above Shop, Agra, Uttar Pradesh - 435355","861, Sant Path, Above Shop, Agra, Uttar Pradesh - 435355",0,,861,Agra,201355,Uttar Pradesh,
"51/49, Sarna Ganj, Near Park, Lucknow, Uttar Pradesh - 136397","51/49, Sarna Ganj, Near Park, Lucknow, Uttar Pradesh - 136397",0,,51/49,Lucknow,201397,Lucknow,Uttar Pradesh
"H.No. 72 Bawa Zila, Above Shop, Meerut, Uttar Pradesh - 317713","H.No. 72 Bawa Zila, Above Shop, Meerut, Uttar Pradesh - 317713",0,,H.No. 72,Bawa Zila,201313,Meerut,Uttar Pradesh
"H.No. 872, Tandon Zila, Above Shop, Jaipur, Rajasthan - 547753","H.No. 872, Tandon Zila, Above Shop, Jaipur, Rajasthan - 547753",0,,H.No. 872,Tandon Zila,574753,Jaipur,Rajasthan
"60/29 Bahri Marg, Near Park, Ranchi, Jharkhand - 624078","60/29 Bahri Marg, Near Park, Ranchi, Jharkhand - 624078",0,,60/29,Ranchi,624078,Jharkhand,
"54 Mani Road, Opposite Mall, Ludhiana, Punjab - 543822","54 Mani Road, Opposite Mall, Ludhiana, Punjab - 543822",0,,54,Ludhiana,543222,Punjab,
"60/36, Ram Marg, Behind School, Hyderabad, Telangana - 391251","60/36, Ram School, Hyderabad, Telangana",1,,60/36,,500006,Hyderabad,Telangana
"889 Deo Marg, Near Park, Jaipur, Rajasthan - 353479","889 Deo Near Park, 353479",1,,889 Deo,Near Park,353479,,
"108 Kadakia Road, Above Shop, Jamshedpur, Jharkhand - 603133","108 Kadakia Road, Above Shop, Jamshedpur, Jharkhand - 603133",0,,108,Jamshedpur,203133,Jharkhand,
